;grid=25x25:extent=(-36.0000,36,-36,36.0000):X_lbl=plate_x:Y_lbl=plate_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    #,   plate_x,   plate_y,  Seconds,       i0,       i1,      mon,    bstop,    Omron,      CH6,      CH7,     TEMP,   marccd,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     ROI8,     ROI9,    ROI10,    RIO11,    ROI12,    ROI13,      SWX,     CCD1,    CTEMP,    Timer,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,Imax,Iave,ratio
68,17.998,-30.0003,60,13065342,387549,0,73013,28099501,0,0,0,65.177953,41940,41340,85,104,1042,367,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.4670222,79.56904808,4.404564723
80,-21.001,-27.0001,60,13023655,383600,0,72601,59472091,0,0,0,65.076716,36180,35700,83,131,906,327,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.3233386,56.08391685,2.698159242
81,-17.998,-27.0001,60,12985580,385092,0,72177,59949093,0,0,0,65.045341,28200,27780,66,139,680,240,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.62783002,45.92129074,1.734006792
82,-15,-27.0001,60,12949994,382103,0,71721,28206706,0,0,0,65.170719,24780,24360,61,138,581,221,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.5289604,45.37876916,2.061073099
83,-12.002,-27.0001,60,13011160,383044,0,72472,59948826,0,0,0,65.079932,26640,26220,69,115,648,210,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.3286095,47.45335098,1.73493774
84,-8.999,-27.0001,60,12989071,384550,0,72222,59949128,0,0,0,65.037215,28020,27600,53,119,692,236,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.59920058,48.84642641,1.81383178
85,-6.001,-27.0001,60,12933797,370914,0,71551,59948900,0,0,0,65.108969,26640,26220,57,112,655,254,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.5215117,48.03008482,1.926324137
86,-2.99801,-27.0001,60,12896655,385577,0,70989,28069883,0,0,0,65.053882,28140,27720,48,119,667,265,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.09471899,49.44364324,1.842394957
87,0,-27.0001,60,12894537,384562,0,70946,28230549,0,0,0,65.088606,27660,27240,58,102,687,229,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.43217391,49.08094989,1.883259678
88,2.99801,-27.0001,60,12982122,383156,0,71999,28363217,0,0,0,65.106033,27360,26940,69,98,693,279,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.9706087,48.15611637,1.826779552
89,6.001,-27.0001,60,12953340,375255,0,71665,28104788,0,0,0,65.053721,25020,24660,58,83,603,193,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.29917636,46.09137869,1.720477421
