;grid=31x31:extent=(-44.0000,44,-44,44.0000):X_lbl=plate_x:Y_lbl=plate_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    #,   plate_x,   plate_y,  Seconds,       i0,       i1,      mon,    bstop,    Omron,      CH6,      CH7,     TEMP,   marccd,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     ROI8,     ROI9,    ROI10,    RIO11,    ROI12,    ROI13,      SWX,     CCD1,    CTEMP,    Timer,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,Imax,Iave,Ratio
78,2.93329,-38.1331,60,13389562,830743,0,76666,28808963,0,0,0,64.889062,441180,429780,305532,4077,1059,880,43883,831,363609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462.1654784,176.5451481,2.617831661
79,5.86655,-38.1331,60,13350366,846809,0,76195,28625223,0,0,0,65.133831,461820,449280,324530,3984,1008,923,46666,870,385419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450.661416,181.9432491,2.476933979
80,8.79982,-38.1331,60,13443989,853367,0,77367,28722053,0,0,0,65.161125,481920,468600,341652,3945,1044,831,49650,848,405537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.4221522,185.222148,2.34541148
81,11.7331,-38.1331,60,13443609,849649,0,77345,28839834,0,0,0,65.249508,494760,480720,355919,3825,1067,834,51225,823,421516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411.1930028,187.0619625,2.1981647
82,14.6664,-38.1331,60,13425956,848543,0,77131,29009547,0,0,0,65.086925,509940,495360,368988,3729,1019,764,53436,826,436846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389.7217709,189.1239506,2.060668517
83,17.5996,-38.1331,60,13390030,850643,0,76707,28587652,0,0,0,65.204175,526080,510360,385132,3719,1064,805,55241,829,454875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370.8232466,191.8190639,1.933192869
84,20.5329,-38.1331,60,13396816,847376,0,76745,28662749,0,0,0,64.987262,541860,525540,398774,3521,1041,781,57208,784,470430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.192811,193.4678496,1.810082718
99,-26.3994,-35.2001,60,13423794,834124,0,77070,28685211,0,0,0,65.105322,319980,313140,192871,5444,1140,1164,27978,843,235301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.8084266,158.3855907,2.044431095
100,-23.4661,-35.2001,60,13379230,842848,0,76544,28356158,0,0,0,65.776336,331680,324360,205875,5276,1161,1195,29467,852,249761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.8898319,161.9118223,2.36480466
101,-20.5328,-35.2001,60,13339578,846557,0,76035,28671275,0,0,0,65.107273,347100,339360,217335,5289,1214,1214,31449,852,263417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381.7664403,164.6126209,2.319180864
